# Word list for a specific language.
# In this file, line starts with # (comments) and empty lines are ignored
# Word list is organize like this :	
# $GRAMMAR$ : describe how extract word and frequency from following list. 
# The grammar affect following lines, this way its possible to have several grammar in the file. 
# When a new grammar is found, it replace the actual grammar for the rest of list, until meet an other $GRAMMAR$ (or reach end of document)

# Default $GRAMMAR$ definition : 
$GRAMMAR$	<frequency>[SPACE]<word>
# Where :
# 		<frequency> is the place for the integer for frequency
# 		[SPACE] one or more "space characters" (Space, tabulation)
# 		<word> is the place for the "word"

# *****************************************
# ***   French word initial word list   ***
# *****************************************

$GRAMMAR$	<word>|<frequency>
aligné|1
alignée|1
aliment|1
alimentaire|1
alimentation|1
alimenter|1
aliments|1
alimenté|1
alinéa|1
alisier|1
alitement|1
aliter|1
alizé|1
aliénabilité|1
aliénable|1
aliénant|1
aliénation|1
aliéner|1
aliéniste|1
aliéné|1
aliénée|1
alkaest|1
alkyle|1
allache|1
allaitement|1
allaiter|1
allant|1
allantoïdien|1
allegretto|1
allemand|1
aller|1
allergie|1
allergique|1
allergologiste|1
allergologue|1
allergène|1
allergénique|1
allers|1
alleu|1
alliacé|1
alliage|1
alliance|1
allier|1
alligator|1
allitération|1
allié|1
allocataire|1
allocation|1
allocentrisme|1
allochtone|1
allocutaire|1
allocution|1
allogamie|1
allogène|1
allonge|1
allongement|1
allonger|1
allongé|1
allopathe|1
allopathie|1
allophone|1
allotissement|1
allotropie|1
allotropique|1
allouable|1
allouer|1
alloué|1
allumage|1
allume-feu|1
allumer|1
allumette|1
allumeur|1
allumeuse|1
allumé|1
allure|1
alluré|1
allusif|1
allusion|1
allusivement|1
alluvial|1
alluviale|1
alluvion|1
allègement|1
allègre|1
allègrement|1
allène|1
alléchant|1
allécher|1
alléché|1
allée|1
allégation|1
allégeance|1
allégement|1
alléger|1
allégorie|1
allégorique|1
allégoriquement|1
allégoriste|1
allégresse|1
allégretto|1
allégro|1
alléguer|1
allégué|1
allégé|1
alléluia|1
almanach|1
almandin|1
almée|1
alogique|1
aloi|1
alopécie|1
alors|1
alose|1
alouate|1
alouette|1
alouette huppée|1
alouette sans tête|1
alourdi|1
alourdir|1
alourdissant|1
alourdissement|1
alpaga|1
alpage|1
alpaguer|1
alpe|1
alpestre|1
alpha|1
alphabet|1
alphabétisation|1
alphabétiser|1
alpin|1
alpinisme|1
alpiniste|1
alsine|1
alter ego|1
altercation|1
alternance|1
alternant|1
alternat|1
alternateur|1
alternatif|1
alternative|1
alternativement|1
alterner|1
altesse|1
althæa|1
altier|1
altimètre|1
altimétrie|1
altiport|1
altitude|1
altière|1
alto|1
altostratus|1
altruisme|1
altruiste|1
altruistes|1
altuglas|1
altérable|1
altération|1
altérer|1
altérité|1
altéré|1
alu|1
alumine|1
aluminiage|1
aluminisation|1
aluminium|1
aluminure|1
alunir|1
alvin|1
alvéolaire|1
alvéole|1
alysse|1
alyte|1
alâchir|1
alèse|1
aléa|1
aléatoire|1
aléatoirement|1
alémanique|1
alérion|1
alésage|1
aléser|1
aléseur|1
alêne|1
amabile|1
amabilité|1
amadouer|1
amadoueur|1
amadoué|1
amaigri|1
amaigrir|1
amaigrissant|1
amaigrissement|1
amalgame|1
amalgamer|1
amalgames|1
amalgamé|1
amalgamée|1
amande|1
amande de terre|1
amanite|1
amanite ovoïde|1
amant|1
amante|1
amarante|1
amareyeur|1
amarrage|1
amarre|1
amarrer|1
amarré|1
amas|1
amasser|1
amassé|1
amateur|1
amateurisme|1
amaurose|1
amazone|1
amazonien|1
ambages|1
ambassade|1
ambassadeur|1
ambassadrice|1
ambiance|1
ambiant|1
ambigu|1
ambigument|1
ambiguë|1
ambiguïté|1
ambitieux|1
ambition|1
ambitionnant|1
ambitionner|1
ambitionné|1
ambitus|1
ambivalence|1
ambivalent|1
amble|1
ambler|1
amblyope|1
amblyopie|1
ambon|1
ambrer|1
ambrine|1
ambroisie|1
ambré|1
ambulance|1
ambulancier|1
ambulant|1
ambulatoire|1
amen|1
amenant|1
amendable|1
amende|1
amendement|1
amender|1
amendée|1
amener|1
amenuisement|1
amenuiser|1
amené|1
amenée|1
amer|1
amertume|1
ameublement|1
ameublir|1
ameublissement|1
ameuter|1
ameuté|1
ami|1
ami du crocodile|1
amiable|1
amiante|1
amical|1
amicale|1
amicalement|1
amicrobien|1
amidon|1
amidonnage|1
amidonner|1
amidonnier|1
amidonné|1
amie|1
amignonner|1
amignoter|1
aminci|1
amincir|1
amincissant|1
amincissement|1
amiral|1
amitié|1
ammoniac|1
ammoniaque|1
ammonification|1
ammonisation|1
ammonite|1
ammophile|1
amniote|1
amnistiable|1
amnistie|1
amnistier|1
amnésie|1
amnésique|1
amocher|1
amoché|1
amodiable|1
amodiataire|1
amodiateur|1
amodiation|1
amodier|1
amoindri|1
amoindrie|1
amoindrir|1
amoindrissement|1
amolli|1
amollir|1
amollissant|1
amollissement|1
amonceler|1
amoncellement|1
amoncelé|1
amont|1
amoral|1
amoralité|1
amoraux|1
amorce|1
amorcement|1
amorcer|1
amorceur|1
amorcé|1
amorphe|1
amorti|1
amortir|1
amortissable|1
amortissement|1
amortisseur|1
amorçage|1
amour|1
amour spirituel|1
amour-en-cage|1
amour-propre|1
amouracher|1
amourette|1
amoureuse|1
amoureusement|1
amoureux|1
amours|1
amovibilité|1
amovible|1
amphibie|1
amphibien|1
amphibole|1
amphibologie|1
amphibologique|1
amphigouri|1
amphigourique|1
amphithéâtre|1
amphitryon|1
amphore|1
ample|1
amplement|1
ampleur|1
ampliatif|1
ampliation|1
amplificateur|1
amplification|1
amplifier|1
amplifié|1
amplitude|1
ampoule|1
ampoulé|1
amputation|1
amputer|1
amputé|1
ampèremètre|1
ampélite|1
amulette|1
amure|1
amusant|1
amuse|1
amuse-bouche|1
amuse-gueule|1
amusement|1
amusements|1
amuser|1
amusette|1
amuseur|1
amusé|1
amygdalite|1
amène|1
amèrement|1
améliorable|1
améliorateur|1
amélioration|1
améliorer|1
amélioré|1
aménageable|1
aménagement|1
aménager|1
aménageur|1
aménagé|1
aménagée|1
aménité|1
américain|1
américaine|1
américaniser|1
améthyste|1
amétropie|1
an|1
ana|1
anabolisme|1
anacardiacée|1
anacardier|1
anachorète|1
anachorétique|1
anachronique|1
anachronisme|1
anacoluthe|1
anaconda|1
anagallis|1
anaglyptique|1
anagramme|1
anal|1
analecta|1
analectes|1
analeptique|1
analgésie|1
analgésique|1
anallergique|1
analogie|1
analogique|1
analogiquement|1
analogue|1
analogues|1
analphabète|1
analphabétisme|1
analysable|1
analyse|1
analyser|1
analyseur|1
analyste|1
analysé|1
analytique|1
anamnésie|1
anamorphe|1
anamorphose|1
anaphrodisie|1
anaphylactique|1
anaphylaxie|1
anarchie|1
anarchique|1
anarchiquement|1
anarchisant|1
anarchiste|1
anasarque|1
anastatique|1
anastomose|1
anastomoser|1
anastrophe|1
anathème|1
anathématiser|1
anatidé|1
anatife|1
anatomie|1
anatomique|1
ancestral|1
ancestraux|1
ancien|1
ancienne|1
anciennement|1
ancienneté|1
anciens|1
ancrage|1
ancre|1
ancrer|1
ancré|1
ancêtre|1
ancêtres|1
andante|1
andouille|1
andouiller|1
andouillette|1
androcée|1
androgenèse|1
androgyne|1
androgénie|1
androïde|1
anecdote|1
anecdotier|1
anecdotique|1
anencéphale|1
anesthésiant|1
anesthésie|1
anesthésier|1
anesthésiologie|1
anesthésique|1
anesthésiste|1
aneth|1
aneurine|1
anfractuosité|1
ange|1
ange de mer|1
angelot|1
anges|1
angiectasie|1
angine|1
angine de poitrine|1
angiographie|1
angiologie|1
angiome|1
anglais|1
anglaise|1
angle|1
anglet|1
anglican|1
anglo-saxon|1
anglomane|1
